hanzi,pinyin,definition,example_sentence,difficulty
满,mǎn,full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; to fill; abbr. for Manchurian,这件事引起了大家的不满。,Medium
毛,máo,hair; feather; down,地上有一毛钱。,Medium
毛巾,máo jīn,towel; CL:条[tiao2],热了吧，用毛巾擦擦汗吧。,Medium
美丽,měi lì,beautiful,他来自一个美丽的海边城市。,Medium
梦,mèng,"dream; CL:场[chang2] ,个",这真是个有趣的梦！,Medium
迷路,mí lù,to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear),他在森林里迷路了。,Medium
密码,mì mǎ,code; secret code; password; pin number,我把信用卡的密码忘了。,Medium
免费,miǎn fèi,free (of charge),在这家饭店吃饭，饮料免费。,Medium
秒,miǎo,second (of time); unit of angle or arc equivalent to one sixtieth of a degree,...,Medium
民族,mín zú,nationality; ethnic group; CL:个,中国是个多民族的国家。,Medium
母亲,mǔ qīn,mother; also pr. with light tone [mu3 qin5]; CL:个,我来介绍一下，这位是我的母亲。,Medium
目的,mù dì,purpose; aim; goal; target; objective; CL:个,我不明白他这样做的目的。,Medium
耐心,nài xīn,to be patient; patient (adjective),教育孩子要有耐心。,Medium
难道,nán dào,don't tell me...; could it be that...?,这些菜难道不好吃吗？,Medium
难受,nán shòu,to feel unwell; to suffer pain; to be difficult to bear,我感冒了，身体很难受。,Medium
内,nèi,inside; inner; internal; within; interior,这篇文章的内容非常精彩。,Medium
内容,nèi róng,"content; substance; details; CL:个,项[xiang4]",这篇文章的内容非常精彩。,Medium
能力,néng lì,capability; capable; able; ability; CL:个,...,Medium
年龄,nián líng,"(a person's) age; CL:把[ba3] ,个",随便问别人的年龄是不礼貌的。,Medium
弄,nòng,to do (to manage); to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with,我不小心把衣服弄脏了。,Medium
暖和,nuǎn huo,warm (weather); nice and warm,春天来了，天气变暖和了。,Medium
偶尔,ǒu ěr,occasionally; once in a while; sometimes,我偶尔会在学校见到她。,Medium
排队,pái duì,to line up; queue up; form a line,...,Medium
排列,pái liè,to arrange; arrangement; array; permutation (i.e. ordered choice of n elements out of m),请把这些盒子按照从大到小的顺序排列。,Medium
判断,pàn duàn,to decide; to determine; CL:个,你的判断完全正确。,Medium
陪,péi,to accompany; to keep sb company,在我伤心的时候，你总是陪在我身边。,Medium
批评,pī píng,to criticize; criticism; CL:个,老师很少会批评我。,Medium
皮肤,pí fū,skin; CL:种[zhong3],妈妈很注意保护皮肤。,Medium
脾气,pí qi,temperament; disposition; temper; CL:个,他脾气好，从来不发火。,Medium
篇,piān,"piece of writing; sheet; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article",这篇文章的内容非常精彩。,Medium
骗,piàn,to cheat; to swindle; to deceive; to fool; to hoodwink; to trick,我没骗你，他真的来了。,Medium
乒乓球,pīng pāng qiú,table tennis; ping-pong; ping pong; table tennis ball; CL:个,有谁想参加乒乓球比赛？,Medium
平时,píng shí,in normal times; in peacetime,她平时很少运动。,Medium
破,pò,"broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",对不起，我把镜子打破了。,Medium
葡萄,pú tao,grape,葡萄五元一斤。,Medium
普遍,pǔ biàn,universal; general; widespread; common,...,Medium
普通话,pǔ tōng huà,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech,你的普通话说得很标准。,Medium
其次,qí cì,next; secondly,...,Medium
其中,qí zhōng,among; in; included among these,...,Medium
气候,qì hòu,climate; atmosphere; situation; CL:种[zhong3],你能适应北方的气候吗？,Medium
千万,qiān wàn,ten million; countless; many; one must by all means,你千万别忘了明天的会议。,Medium
签证,qiān zhèng,visa; certificate; to certify; CL:个,我明天要去大使馆办签证。,Medium
敲,qiāo,extort; knock; to strike; to knock (at a door); to hit,有人敲门，你去看看谁来了。,Medium
桥,qiáo,bridge; CL:座[zuo4],河上有一座小桥。,Medium
巧克力,qiǎo kè lì,chocolate (loanword); CL:块[kuai4],我最爱吃巧克力了。,Medium
亲戚,qīn qi,"a relative (i.e. family relation); CL:门[men2] ,个,位[wei4]",我的亲戚大多住在北京。,Medium
轻,qīng,light (not heavy); light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral,这个工作对他来说并不轻松。,Medium
轻松,qīng sōng,gentle; relaxed,放假了，我们可以去轻松一下了。,Medium
情况,qíng kuàng,"circumstances; state of affairs; situation; CL:个,种[zhong3]",情况发生了很大的变化。,Medium
穷,qióng,exhausted; poor,这位老人虽然很穷，但是生活得很快乐。,Medium
区别,qū bié,difference; to distinguish; to discriminate; to make a distinction; CL:个,这两种材料有什么区别吗？,Medium
取,qǔ,to take; to get; to choose; to fetch,工作取得了成功，大家都很得意。,Medium
全部,quán bù,whole; entire; complete,同学们全部都来了。,Medium
缺点,quē diǎn,weak point; fault; shortcoming; CL:个,人不能拿自己的缺点和别人的优点比较。,Medium
缺少,quē shǎo,lack; shortage of; shortfall; to be short (of); to lack,你看还缺少什么，我现在就去买。,Medium
却,què,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though,我有很多话要说，可是一紧张却说不出来了。,Medium
确实,què shí,indeed; really; reliable; real; true,...,Medium
然而,rán ér,however; yet; but,我花了很多时间来读这本书，然而一直没有读,Medium
热闹,rè nao,bustling with noise and excitement; lively,大街上非常热闹。,Medium
任何,rèn hé,any; whatever; whichever; whatsoever,妈妈比任何人都了解我。,Medium
任务,rèn wu,"mission; assignment; task; duty; role; CL:项[xiang4] ,个",他们竟然只用了一周就完成了任务。,Medium
扔,rēng,to throw; to throw away,请把垃圾扔到垃圾桶里。,Medium
仍然,réng rán,still; yet,今天仍然是个好天气。,Medium
日记,rì jì,"diary; CL:则[ze2] ,本[ben3] ,篇[pian1]",女儿养成了每天写日记的习惯。,Medium
入口,rù kǒu,entrance,我在大楼的入口等你。,Medium
散步,sàn bù,to take a walk; to go for a walk,星期天，他往往去公园散步。,Medium
森林,sēn lín,forest; CL:片[pian4],森林着活泼了。,Medium
沙发,shā fā,"sofa; CL:条[tiao2] ,张[zhang1]",请在沙发上坐一会儿，我去给您倒杯茶。,Medium
伤心,shāng xīn,to grieve; to be broken-hearted; to feel deeply hurt; sad,在我伤心的时候，你总是陪在我身边。,Medium
商量,shāng liang,to consult; to talk over; to discuss,你来得正好，咱们商量一下。,Medium
稍微,shāo wēi,a little bit,稍微一马虎就会出错。,Medium
勺子,sháo zi,scoop; ladle; CL:把[ba3],不好意思，我把勺子掉在地上了。,Medium
社会,shè huì,society; CL:个,这些社会问题大家都很关心。,Medium
深,shēn,"deep; late; profound; dark (of color, water etc); deep",我们之间有很深的友谊。,Medium
申请,shēn qǐng,to apply for sth; application (form etc); CL:份[fen4],我向银行申请了一张信用卡。,Medium
甚至,shèn zhì,so much so that; even,大家玩儿得很开心，甚至忘了时间。,Medium
生活,shēng huó,life; activity; to live; livelihood,互联网给人们的生活带来了很多方便。,Medium
生命,shēng mìng,life; living; biological; CL:个,他把艺术看得比自己的生命更重要。,Medium
生意,shēng yì ,life force; vitality; ,最近我们的生意很火。,Medium
省,shěng,to do without; to economize; to save; to omit; to leave out; province; CL:个,我来自山东省。,Medium
剩,shèng,to remain; to be left; to have as remainder,这次比赛，我们又剩了。,Medium
失败,shī bài,to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4],虽然经历过很多次失败，但我从来没有放弃,Medium
失望,shī wàng,disappointed; to lose hope; to despair,大家不要失望，我们还是有希望的。,Medium
师傅,shī fu,"master; qualified worker; respectful form of address for older men; CL:个,位[wei4] ,名[ming2]",师傅，请问电影院怎么走？,Medium
十分,shí fēn,to divide into ten equal parts; very; hundred percent; completely; extremely; utterly; absolutely,请大家休息一会儿，十分钟后继续上课。,Medium
实际,shí jì,actual; reality; practice,他用了一个实际的例子来说明这个问题。,Medium
实在,shí zài,in reality; honestly; really; verily; concrete,虽然我很想去，可是实在没时间。,Medium
使,shǐ,to cause; to enable; to use; to employ; to make; to send; to instruct sb to do sth; envoy; messenger,他的话使我很感动。,Medium
使用,shǐ yòng,to use; to employ; to apply; to make use of,为了保护环境，请不要使用塑料袋 。,Medium
世纪,shì jì,century; CL:个,现在是二十一世纪了。,Medium
是否,shì fǒu,whether (or not); if; is or isn't,他是否能来，我还不太清楚。,Medium
适合,shì hé,to fit; to suit,我不太适合穿绿色的衣服。,Medium
适应,shì yìng,to suit; to fit; to be suitable; to adapt; to get used to sth,我已经适应这里的工作环境了。,Medium
收,shōu,to receive; to accept; to collect; in care of (used on address line after name),房间里很乱，我们收拾一下吧。,Medium
收入,shōu rù,"to take in; income; revenue; CL:笔[bi3] ,个",...,Medium
收拾,shōu shi,to put in order; to tidy up; to pack; to repair; to punish (colloquial); to manage,我在收拾行李呢。,Medium
首都,shǒu dū,capital (city); CL:个,中国的首都是北京。,Medium
首先,shǒu xiān,first (of all); in the first place,首先要休息好，然后才能工作好。,Medium
受不了,shòu bù liǎo,unbearable; unable to endure; can't stand,...,Medium
受到,shòu dào,to suffer; obtained; given; to receive,他的小说受到了读者们的欢迎。,Medium
售货员,shòu huò yuán,salesperson; CL:个,我在商场做售货员。,Medium
输,shū,to transport; to lose; to donate; to enter (a password),这次比赛，我们输了。,Medium
熟悉,shú xī,to be familiar with; to know well,我跟他们都很熟悉。,Medium
数量,shù liàng,quantity; amount; CL:个,...,Medium
数字,shù zì,numeral; digit; number; figure; amount; digital (electronics etc); CL:个,请把数字写清楚。,Medium
帅,shuài,handsome; graceful; smart; commander in chief,...,Medium
顺便,shùn biàn,conveniently; in passing; without much extra effort,下班的路上，我顺便买了些菜。,Medium
顺利,shùn lì,smoothly; without a hitch,比赛进行得很顺利。,Medium
顺序,shùn xù,sequence; order,请不要把顺序弄乱了。,Medium
说明,shuō míng,to explain; to illustrate; explanation; directions; caption; CL:个,他用了一个实际的例子来说明这个问题。,Medium
硕士,shuò shì,master's degree; learned person,我在大学里读硕士研究生。,Medium
死,sǐ,to die; impassable; uncrossable; inflexible; rigid; extremely,这棵树已经死了。,Medium
塑料袋,sù liào dài,plastic bag,为了保护环境，请不要使用塑料袋 。,Medium
速度,sù dù,speed; rate; velocity; CL:个,他跑步的速度真快！,Medium
酸,suān,sour; tart; sick at heart; grieved; sore; aching; acid,昨天去爬山了，今天腿很酸。,Medium
随便,suí biàn,as one wishes; as one pleases; at random; negligent; casual; wanton,大家请随便坐吧。,Medium
随着,suí zhe,along with; in the wake of; following,随着经济的发展，人们的生活有了很大的提,Medium
孙子,sūn zi,grandson (paternal),爷爷非常喜欢自己的孙子。,Medium
所有,suǒ yǒu,all; to possess; to have; to own,所有的人都认为是他不对。,Medium
台,tái,desk; platform; stage; terrace; stand; support; station; broadcasting station; desk; classifier for vehicles or machines; Taiwan (abbr.),这台电脑是新买的。,Medium
抬,tái,to lift; to raise; (of two or more persons) to carry,他们把课桌抬到教室里去了。,Medium
态度,tài du,manner; bearing; attitude; approach; CL:个,服务员对顾客的态度非常好。,Medium
弹钢琴,tán gāng qín,play the piano,我四岁开始学习弹钢琴。,Medium
谈,tán,to discuss; to chat; to converse; to talk; to speak,我还要跟你谈另外一件事情。,Medium
汤,tāng,soup; broth; hot water,您想再喝一碗汤吗？,Medium
糖,táng,"sugar; sweets; candy; CL:颗[ke1] ,块[kuai4]",我想吃块儿糖。,Medium
躺,tǎng,to recline; to lie down,她躺在床上睡着了。,Medium
趟,tàng,quantifier for the number of trips or runs made,上个月我去了一趟北京。,Medium
讨论,tǎo lùn,to talk over; to discuss; CL:个,我们开会讨论一下吧。,Medium
讨厌,tǎo yàn,to dislike; to loathe; disagreeable; troublesome; annoying; nasty; to hate doing something,我讨厌在饭馆吃饭。,Medium
特点,tè diǎn,characteristic (feature); trait; feature; CL:个,...,Medium
提,tí,to carry; to lift; to raise,我已经提醒过他，但他还是忘了。,Medium
提供,tí gōng,to supply; to provide; to furnish; to offer,图书馆为大家提供了安静的阅读环境。,Medium
提前,tí qián,to shift to an earlier date; to bring forward; to advance; in advance,请大家注意，会议的时间提前了。,Medium
提醒,tí xǐng,to call attention to; to warn of; to remind,我已经提醒过他，但他还是忘了。,Medium
填空,tián kòng,to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper),这是一道填空题。,Medium
条件,tiáo jiàn,circumstances; condition; term; factor; requirement; prerequisite; qualification; CL:个,她很符合我们的招聘条件。,Medium
停,tíng ,to halt; to stop; to park (a car); ,他把车暂时停在了路边。,Medium
挺,tǐng,to (physically) straighten up; to stick out; to endure or hold out; straight; stiff; outstanding; extraordinary; rather; quite; very; classifier for machine guns,汽车正在挺一座大桥。,Medium
通过,tōng guò,to pass through; to get through; by means of; through; via; to adopt; to pass (a bill); to switch over,我已经通过了考试。,Medium
通知,tōng zhī,to notify; to inform; notice; notification; CL:个,请通知大家来开会。,Medium
同情,tóng qíng,compassion; relent; sympathize; sympathy,我都很同情他。,Medium
同时,tóng shí,at the same time; simultaneously,...,Medium
推,tuī,to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect,我的车坏了，请帮我推一下好吗？,Medium
推迟,tuī chí,to postpone; to put off; to defer,飞机起飞的时间，推迟了 20 分钟。,Medium
脱,tuō,to shed; to take off; to escape; to get away from,房间很暖和，把大衣脱了吧。,Medium
袜子,wà zi,"socks; stockings; CL:只[zhi1] ,对[dui4] ,双[shuang1]",我把袜子洗干净了。,Medium
完全,wán quán,complete; whole; totally; entirely,这件事，完全是可能的。,Medium
往往,wǎng wǎng,often; frequently,星期天，他往往去公园散步。,Medium
网球,wǎng qiú,tennis; CL:个,我最近才开始学习打网球。,Medium
网站,wǎng zhàn,website; network station; node,网站上有很多招聘信息。,Medium
危险,wēi xiǎn,danger; dangerous,...,Medium
卫生间,wèi shēng jiān,bathroom; toilet; WC; CL:间[jian1],请问，卫生间在哪儿？,Medium
味道,wèi dào,flavor; smell; hint of,快来尝尝我做的菜，味道怎么样？,Medium
温度,wēn dù,temperature; CL:个,秋天来了，温度开始降低了。,Medium
文章,wén zhāng,"article; essay; literary works; writings; hidden meaning; CL:篇[pian1] ,段[duan4] ,页[ye4]",她把旅行的经历写成了文章。,Medium
污染,wū rǎn,pollution; contamination; CL:个,现在环境污染越来越严重。,Medium
无,wú,un-; to lack; -less; not to have; no; none; not; to lack ,无论我怎么解释，他都不明白。,Medium
无聊,wú liáo,nonsense; bored,...,Medium
无论,wú lùn,no matter what or how; regardless of whether...,无论我怎么解释，他都不明白。,Medium
误会,wù huì,to misunderstand; to mistake; misunderstanding; CL:个,我们之间好像有误会。,Medium
吸引,xī yǐn,"to attract (interest, investment etc); CL:个",这部电影很吸引人。,Medium
西红柿,xī hóng shì,tomato; CL:只[zhi1],我买了一些西红柿。,Medium
咸,xián,salty,盐放多了，菜有点儿咸。,Medium
现金,xiàn jīn,cash,我带的现金不太多，但是商店可以刷卡。,Medium
羡慕,xiàn mù,envious; envy; to admire,我很羡慕他有一份好工作。,Medium
相反,xiāng fǎn,opposite; contrary,你说的跟我理解的正好相反。,Medium
相同,xiāng tóng,identical; same,你的自行车跟我的完全相同。,Medium
香,xiāng,fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1],你做的菜真香啊！,Medium
详细,xiáng xì,detailed; in detail; minute,关于这个问题，后面我还会详细说。,Medium
响,xiǎng,to make a sound; to sound; to ring; loud; classifier for noises,你听，是不是电话响了？,Medium
橡皮,xiàng pí,rubber; an eraser; CL:块[kuai4],你可以借我橡皮用一下吗？,Medium
消息,xiāo xi,news; information; CL:条[tiao2],这个消息真是激动人心。,Medium
小吃,xiǎo chī,snack; refreshments; CL:家[jia1],来北京一定要尝一尝北京的小吃。,Medium
小伙子,xiǎo huǒ zi,lad; young fellow; young man; young guy; youngster; CL:个,...,Medium
小说,xiǎo shuō,"novel; fiction; CL:本[ben3] ,部[bu4]",这位作家的小说你读过吗？,Medium
效果,xiào guǒ,result; effect; quality; CL:个,这种感冒药的效果很好。,Medium
笑话,xiào huà,joke; jest; CL:个,请不要笑话别人。,Medium
心情,xīn qíng,mood; frame of mind; CL:个,你今天看起来心情不错。,Medium
辛苦,xīn kǔ,hard; exhausting; with much toil; thanks for your trouble,爸爸的工作很辛苦。,Medium
信封,xìn fēng,envelope; CL:个,他把写好的信放进了信封里。,Medium
信息,xìn xī,information; news; message,网站上有很多招聘信息。,Medium
信心,xìn xīn,confidence; faith (in sb or sth); CL:个,我们对你很有信心，你一定能行。,Medium
兴奋,xīng fèn,excited; excitement,孩子们听说要去春游，都兴奋地跳了起来。,Medium
行,xíng,to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do,今天下午我要去银行取钱。,Medium
醒,xǐng,to wake up; to awaken; to be awake,我已经提醒过他，但他还是忘了。,Medium
幸福,xìng fú,happiness; happy; blessed; well-being,钱买不来幸福。,Medium
性别,xìng bié,gender; sex; distinguishing between the sexes,请在表格的第二行填写性别。,Medium
性格,xìng gé,nature (temperament); nature; disposition; temperament; character; CL:个,我妻子的性格非常好，从不发脾气。,Medium
修理,xiū lǐ,to repair; to perform maintenance; to overhaul; to fix; to prune; to trim,门坏了，我们找人来修理一下吧。,Medium
许多,xǔ duō,a great deal of; many; a lot of; much,我们有许多年没见了。,Medium
学期,xué qī,school term; semester; CL:个,这个学期我选了很多课，有艺术、历史、经,Medium
呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)","呀, 下雪了！",Medium
压力,yā lì,pressure,他最近工作压力很大。,Medium
牙膏,yá gāo,toothpaste; CL:管[guan3],牙膏用完了，明天去买吧。,Medium
亚洲,yà zhōu,Asia; Asian,你本来说好要来的亚洲。,Medium
严格,yán gé,strict; stringent; tight; rigorous,老师对我们的要求很严格。,Medium
严重,yán zhòng,serious; severe; critical; grave,他生病了，而且很严重。,Medium
盐,yán,salt; CL:粒[li4],盐放多了，菜有点儿咸。,Medium
研究,yán jiū ,research; a study; CL:項|项[xiang4]; ,我在大学里读硕士研究生。,Medium
演出,yǎn chū,"to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:场[chang2] ,次[ci4]",第一次演出，他很紧张。,Medium
演员,yǎn yuán,"actor or actress; performer; CL:个,位[wei4] ,名[ming2]",他是个著名的演员。,Medium
眼镜,yǎn jìng,spectacles; eyeglasses; CL:副[fu4],他戴这个黑色眼镜。,Medium
阳光,yáng guāng,sunlight; sunshine; transparent (open to public scrutinity); CL:线[xian4],阳光从窗户里进到房间里来。,Medium
养成,yǎng chéng,to cultivate; to raise; to form (a habit); to acquire,我从小就养成这个习惯。,Medium
样子,yàng zi,manner; air; looks; aspect,这件衣服的样子很不错。,Medium
邀请,yāo qǐng,to invite; invitation; CL:个,他邀请周末去他家做客。,Medium
要是,yào shi,if,你要是先来了，就等一下我。,Medium
钥匙,yào shi,key; CL:把[ba3],我把钥匙掉在了地上。,Medium
也许,yě xǔ,perhaps; maybe; probably,他也许不会来了。,Medium
叶子,yè zi,foliage; leaf; CL:片[pian4],春天来了，小树新长出了叶子。,Medium
页,yè,page; leaf,...,Medium
一切,yī qiè,everything; every; all,家里一切的事情，都是妈妈负责。,Medium
以,yǐ,to use as; according to; because of,我以为你已经走了。,Medium
以为,yǐ wéi,to believe; to think; to consider; to be under the impression,我以为你已经走了。,Medium
意见,yì jiàn,"opinion; suggestion; idea; objection; complaint; CL:点[dian3] ,条[tiao2]",你有什么意见，请说出来吧。,Medium
艺术,yì shù,art; CL:种[zhong3],我对艺术非常感兴趣。,Medium
因此,yīn cǐ,consequently; as a result; thus,...,Medium
引起,yǐn qǐ,to give rise to; to lead to; to cause; to arouse,这件事引起了大家的不满。,Medium
印象,yìn xiàng,impression; reflection; perception; CL:个,他给我留下了很好的印象。,Medium
赢,yíng,to win; to beat; to profit,昨天的足球比赛，谁赢了？,Medium
应聘,yìng pìn,to accept a job offer; to apply for an advertised position,...,Medium
勇敢,yǒng gǎn,brave; courageous,哥哥是一个很勇敢的人。,Medium
永远,yǒng yuǎn,forever; eternal,我永远不会忘记你对我的帮助。,Medium
优点,yōu diǎn,merit; benefit; strong point; advantage; CL:个,人不能拿自己的缺点和别人的优点比较。,Medium
优秀,yōu xiù,outstanding; excellent,他很优秀，不过不符合公司的招聘条件。,Medium
幽默,yōu mò,humor; humorous,李教授说话非常幽默。,Medium
尤其,yóu qí,especially; particularly,他喜欢画画，尤其是画国画。,Medium
由,yóu,to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb),这次航班由北京飞往杭州。,Medium
由于,yóu yú,due to; as a result of; thanks to; owing to; since; because,...,Medium
邮局,yóu jú,"post office; CL:家[jia1] ,个",邮局早上 9 点开门。,Medium
友好,yǒu hǎo,friendly; amicable,我的房东很友好，经常帮助我。,Medium
友谊,yǒu yì,companionship; fellowship; friendship,我们之间有很深的友谊。,Medium
有趣,yǒu qù,interesting; fascinating; amusing,李老师的课讲得很有趣。,Medium
于是,yú shì,thereupon; as a result; consequently; thus; hence,我有事想问他，于是给他打了电话。,Medium
愉快,yú kuài,cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted,祝你周末愉快！,Medium
与,yǔ,to give; to help; to get along with; and; with,他很自信，喜欢与人竞争。,Medium
羽毛球,yǔ máo qiú,badminton; shuttlecock; CL:个,你经常打羽毛球吗？,Medium
语法,yǔ fǎ,grammar,我学习了一些基础的语法知识。,Medium
语言,yǔ yán,"language; CL:门[men2] ,种[zhong3]",学习一门语言，需要对它的语法有一些了解。,Medium
预习,yù xí,to prepare a lesson,请大家好好预习一下课文。,Medium
原来,yuán lái,original; former; originally; formerly; at first; so... actually,请在原来的基础上再改一改。,Medium
原谅,yuán liàng,to excuse; to forgive; to pardon,请原谅我刚才说的话。,Medium
原因,yuán yīn,cause; origin; root cause; reason; CL:个,我已经找出问题的原因了。,Medium
约会,yuē huì,"appointment; engagement; date; CL:次[ci4] ,个",她开始和小李约会了。,Medium
阅读,yuè dú,to read; reading,我正在阅读这本小说。,Medium
云,yún,cloud; CL:朵[duo3],我们计划夏天去云南旅行。,Medium
允许,yǔn xǔ,to permit; to allow,请允许我做一下自我介绍。,Medium
杂志,zá zhì,"magazine; CL:本[ben3] ,份[fen4] ,期[qi1]",这本杂志上的文章都写得很好。,Medium
咱们,zán men,we or us (including both the speaker and the person(s) spoken to); I or me; you,你来得正好，咱们商量一下。,Medium
暂时,zàn shí,temporary; provisional; for the time being,他把车暂时停在了路边。,Medium
脏,zāng,dirty,我不小心把衣服弄脏了。,Medium
责任,zé rèn,responsibility; blame; duty; CL:个,这件事情，我们大家都有责任。,Medium
增加,zēng jiā,to raise; to increase,...,Medium
占线,zhàn xiàn,busy (telephone),我连着打了几次，他的电话都占线。,Medium
招聘,zhāo pìn,recruitment; to invite applications for a job,她很符合我们的招聘条件。,Medium
照,zhào ,according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before; ,她照了一下镜子，发现自己头发很乱。,Medium
真正,zhēn zhèng,genuine; real; true; genuinely,真正的朋友会在你遇到困难的时候帮助你。,Medium
整理,zhěng lǐ,"to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)",请把桌子上的书整理一下。,Medium
正常,zhèng cháng,regular; normal; ordinary,修理之后，我的电脑又能正常工作了。,Medium
正好,zhèng hǎo,just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that,这个帽子我戴正好，不大也不小。,Medium
正确,zhèng què,correct; proper,你的答案非常正确。,Medium
正式,zhèng shì,formal; official,现在比赛正式开始。,Medium
证明,zhèng míng,proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of; CL:个,...,Medium
之,zhī,"(possessive particle, literary equivalent of 的); him; her; its",这两个城市之间的距离有 300公里。,Medium
支持,zhī chí,to be in favor of; to support; to back; support; backing; to stand by; CL:个,我们两个要互相支持。,Medium
知识,zhī shi,intellectual; knowledge-related; knowledge; CL:门[men2],我学习了一些基础的语法知识。,Medium
值得,zhí de,to be worth; to deserve,这本小说值得读一读。,Medium
植物,zhí wù,botanical; plant; vegetation; CL:种[zhong3],...,Medium
直接,zhí jiē,direct; opposite: indirect 间接; immediate; directly; straightforward,下班后，他直接回家了。,Medium
职业,zhí yè,occupation; profession; vocation; professional,你理想中的职业是什么？,Medium
只好,zhǐ hǎo,without any better option; to have to; to be forced to,雨下得太大了，我们只好留在家里。,Medium
只要,zhǐ yào,if only; so long as,只要努力，你一定能把这件事做好。,Medium
指,zhǐ,finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end,谢谢你指出了我的错误。,Medium
至少,zhì shǎo,at least; (to say the) least,这座楼至少有 100 米高。,Medium
质量,zhì liàng,quality; mass (in physics); CL:个,这双鞋质量非常好。,Medium
重,zhòng,heavy; serious,他把艺术看得比自己的生命更重要。,Medium
重点,zhòng diǎn,emphasis; focal point; priority; key; with the emphasis on; focusing on,他刚才说的才是问题的重点。,Medium
重视,zhòng shì,to attach importance to sth; to value,我们非常重视体育锻炼。,Medium
周围,zhōu wéi,surroundings; environment; to encompass,...,Medium
主意,zhǔ yi,plan; idea; decision; CL:个,你有什么好主意，说来听听。,Medium
祝贺,zhù hè,to congratulate; congratulations; CL:个,祝贺你取得了这么好的成绩。,Medium
著名,zhù míng,famous; noted; well-known; celebrated,她是一位著名的京剧演员。,Medium
专门,zhuān mén,specialist; specialized; customized,我是专门来看你的。,Medium
专业,zhuān yè,"specialty; specialized field; main field of study (at university); major; professional; CL:门[men2] ,个",我在大学学习法律专业。,Medium
转,zhuǎn ,to turn; to change direction; to transfer; to forward (mail); ,前面第一个路口向左转，你就能看到医院了。,Medium
赚,zhuàn,earn; make a profit,他做生意赚了不少钱。,Medium
准确,zhǔn què,accurate; exact; precise,你的答案非常准确。,Medium
准时,zhǔn shí,on time; punctual; on schedule,会议准时开始了。,Medium
仔细,zǐ xì,careful; attentive; cautious,她做事十分仔细。,Medium
自然,zì rán,at ease; free from affectation; natural,我们需要保护自然环境。,Medium
自信,zì xìn,confidence; self-confidence,她是个非常自信的女孩子。,Medium
总结,zǒng jié,to sum up; to conclude; summary; resume; CL:个,请为我们总结您的成功经验。,Medium
租,zū,to rent; to charter; to rent out; to lease out; to hire; rent; land tax,我在公司附近租了房子。,Medium
最好,zuì hǎo,best; (you) had better (do what we suggest),外面下雪了，你最好多穿件衣服。,Medium
尊重,zūn zhòng,esteem; respect; to honor; to value sth,我们都很尊重您的意见。,Medium
左右,zuǒ yòu,approximately; about; left and right; around; (dial.) anyway,他看起来四十岁左右。,Medium
作家,zuò jiā ,"author; CL:個|个[ge4],位[wei4]; ",这位作家的小说你读过吗？,Medium
作用,zuò yòng,"to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:个",这种感冒药对我没什么作用。,Medium
作者,zuò zhě,writer; author; CL:个,这本书的作者很有名。,Medium
座,zuò,"seat; base; stand; classifier for buildings, mountains and similar immovable objects; CL:个",他把座位让给了一位老人。,Medium
座位,zuò wèi,a place to sit; CL:个,他把座位让给了一位老人。,Medium
