hanzi,pinyin,definition,example_sentence,difficulty
核心,hé xīn,core; nucleus,...,Hard
恨,hèn,to hate; to regret,...,Hard
猴子,hóu zi,monkey; CL:只[zhi1],...,Hard
后背,hòu bèi ,the back (human anatomy); the back part of sth; ,...,Hard
后果,hòu guǒ,consequences; aftermath,...,Hard
呼吸,hū xī,to breathe,...,Hard
忽然,hū rán,suddenly; all of a sudden,...,Hard
忽视,hū shì,to neglect; to ignore,...,Hard
壶,hú,pot; classifier for bottled liquid,...,Hard
糊涂,hú tu,muddled; silly; confused,...,Hard
胡说,hú shuō,to talk nonsense; drivel,...,Hard
胡同,hú tòng,lane; alley; CL:条[tiao2],...,Hard
蝴蝶,hú dié,butterfly; CL:只[zhi1],...,Hard
花生,huā shēng,peanut; groundnut; CL:粒[li4],...,Hard
华裔,huá yì,ethnic Chinese; non-Chinese citizen of Chinese ancestry,...,Hard
滑,huá ,to slip; to slide; smooth; slippery; cunning; ,...,Hard
划,huà ,to row; to paddle; profitable; worth (the effort); it pays (to do sth); ,...,Hard
化学,huà xué,chemistry; chemical,...,Hard
话题,huà tí,subject (of a talk or conversation); topic,...,Hard
怀念,huái niàn,to cherish the memory of; to think of; reminisce,...,Hard
怀孕,huái yùn,pregnant; to have conceived; gestation; pregnancy,...,Hard
缓解,huǎn jiě,to ease; to help relieve (a crisis),...,Hard
幻想,huàn xiǎng,delusion; fantasy,...,Hard
慌张,huāng zhāng,confused; flustered,...,Hard
黄金,huáng jīn,gold,...,Hard
恢复,huī fù,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate,...,Hard
挥,huī,to wave; to brandish; to wipe away; to command; to conduct; to scatter; to disperse,...,Hard
灰,huī,ash; dust; lime; gray; discouraged; dejected,...,Hard
灰尘,huī chén,dust,...,Hard
灰心,huī xīn,lose heart; be discouraged,...,Hard
汇率,huì lv4,exchange rate,...,Hard
婚礼,hūn lǐ,wedding ceremony; wedding,...,Hard
婚姻,hūn yīn,matrimony; wedding; marriage; CL:次[ci4],...,Hard
活跃,huó yuè,active; vigorous,...,Hard
伙伴,huǒ bàn,partner; companion; comrade,...,Hard
火柴,huǒ chái,"match (for lighting fire); CL:根[gen1] ,盒[he2]",...,Hard
或许,huò xǔ,perhaps; maybe,...,Hard
基本,jī běn,basic; fundamental; main; elementary,...,Hard
机器,jī qì,"machine; CL:台[tai2] ,部[bu4] ,个",...,Hard
激烈,jī liè,intense; acute; fierce,运动员们在赛场上激烈地竞争。,Hard
肌肉,jī ròu,muscle; flesh,...,Hard
及格,jí gé,to pass a test,...,Hard
急忙,jí máng,hastily,...,Hard
急诊,jí zhěn ,emergency call; emergency (medical) treatment; ,...,Hard
极其,jí qí,extremely,...,Hard
集合,jí hé,a congregation; to gather; a set,...,Hard
集体,jí tǐ,collective; social; team; CL:个,...,Hard
集中,jí zhōng,to concentrate; to centralize; to focus; centralized; concentrated; to put together,...,Hard
寂寞,jì mò,lonely; lonesome,...,Hard
系领带,jì lǐng dài,tie one's necktie,...,Hard
纪录,jì lù,"record (sports, written account); note",...,Hard
纪律,jì lv4,discipline,...,Hard
纪念,jì niàn,to commemorate; to remember; CL:个,...,Hard
计算,jì suàn,to count; to calculate; to compute; CL:个,每个教室里都有一台计算机。,Hard
记录,jì lù,to take notes; keep the minutes; record; CL:个,...,Hard
记忆,jì yì,memories; remember; memory; CL:个,...,Hard
嘉宾,jiā bīn,esteemed guest; honored guest,...,Hard
夹子,jiā zi,clip; clamp; tongs; folder; wallet,...,Hard
家庭,jiā tíng,"family; household; CL:户[hu4] ,个",...,Hard
家务,jiā wù,household duties; housework,...,Hard
家乡,jiā xiāng,hometown; native place; CL:个,...,Hard
假如,jiǎ rú,supposing; if,...,Hard
假设,jiǎ shè,hypothesis; conjecture; suppose that,...,Hard
假装,jiǎ zhuāng,to feign; to pretend,...,Hard
甲,jiǎ,"first (in a list, as a party to a contract, in terms of quality etc); first of the ten heavenly stems 十天十天干[shi2 tian1 gan1]; (used for an unspecified person or thing); armor plating; shell or carapace; (of the fingers or toes) nail; bladed leather or metal armor (old); ranking system used in the Imperial examinations (old); civil administration unit (old)",甲：对不起。乙：没关系。,Hard
价值,jià zhí,"value; worth; fig. values (ethical, cultural etc); CL:个",...,Hard
嫁,jià,(of a woman) to marry; to marry off a daughter; to shift (blame etc),...,Hard
驾驶,jià shǐ,"to pilot (ship, airplane etc); to drive",...,Hard
兼职,jiān zhí,to hold concurrent posts; part-time; concurrent job; moonlighting,...,Hard
坚决,jiān jué,firm; resolute; determined,...,Hard
坚强,jiān qiáng,staunch; strong,...,Hard
肩膀,jiān bǎng,shoulder,...,Hard
艰巨,jiān jù,arduous; terrible (task); very difficult; formidable,...,Hard
艰苦,jiān kǔ,difficult; hard; arduous,...,Hard
剪刀,jiǎn dāo,scissors; CL:把[ba3],...,Hard
捡,jiǎn,to pick up; to collect; to gather,...,Hard
简历,jiǎn lì,Curriculum Vitae (CV); résumé (resume); biographical notes,...,Hard
简直,jiǎn zhí,simply; at all; practically,...,Hard
健身,jiàn shēn ,to exercise; to keep fit; to work out; physical exercise; ,...,Hard
建立,jiàn lì,to establish; to set up; to found; to build,...,Hard
建设,jiàn shè,to build; to construct; construction; constructive,...,Hard
建筑,jiàn zhù,building; to construct; Taiwan pr. jian4 zhu2; CL:个,...,Hard
键盘,jiàn pán,keyboard,...,Hard
讲究,jiǎng jiu,to pay particular attention to; exquisite; aesthetic,...,Hard
讲座,jiǎng zuò,a course of lectures; CL:个,...,Hard
酱油,jiàng yóu,soy sauce,...,Hard
交换,jiāo huàn,to exchange; to swap; to switch (telecom); commutative (math); to commute,...,Hard
交际,jiāo jì,communication; social intercourse,...,Hard
交往,jiāo wǎng,to associate; to contact; association; contact,...,Hard
浇,jiāo,to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold,...,Hard
胶水,jiāo shuǐ,glue,...,Hard
狡猾,jiǎo huá,crafty; cunning; sly,...,Hard
角度,jiǎo dù,angle; point of view,...,Hard
教材,jiào cái,teaching material; CL:本[ben3],...,Hard
教练,jiào liàn,"instructor; sports coach; trainer; CL:个,位[wei4] ,名[ming2]",...,Hard
教训,jiào xun,a lesson; a moral; to chide sb; to lecture sb,...,Hard
接触,jiē chù,to touch; to contact; access; in touch with,...,Hard
接待,jiē dài,to receive (a visitor); to admit (allow sb to enter),...,Hard
接近,jiē jìn,near; close to,...,Hard
结实,jiē shi,rugged; sturdy,...,Hard
阶段,jiē duàn,stage; section; phase; period; CL:个,...,Hard
结构,jié gòu,"structure; composition; makeup; architecture; CL:座[zuo4] ,个",...,Hard
结合,jié hé,to combine; to link; to integrate; binding; CL:次[ci4],...,Hard
结论,jié lùn,conclusion; verdict; to conclude; to reach a verdict; CL:个,...,Hard
结账,jié zhàng,to pay the bill; to settle accounts,...,Hard
节省,jié shěng,saving; to save; to use sparingly; to cut down on,...,Hard
借口,jiè kǒu,to use as an excuse; on the pretext,...,Hard
届,jiè,"to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures etc",...,Hard
戒,jiè ,to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger); ,...,Hard
戒指,jiè zhi,(finger) ring,...,Hard
金属,jīn shǔ,metal; CL:种[zhong3],...,Hard
尽快,jǐn kuài,as quickly as possible; as soon as possible; with all speed,...,Hard
紧急,jǐn jí,urgent; emergency,...,Hard
谨慎,jǐn shèn,cautious; prudent,...,Hard
尽力,jìn lì,to strive one's hardest; to spare no effort,...,Hard
尽量,jìn liàng,as much as possible; to the greatest extent,...,Hard
近代,jìn dài,modern times,...,Hard
进步,jìn bù,progress; improvement; to improve; to progress; CL:个,你最近确实很有进步。,Hard
进口,jìn kǒu,to import; imported,...,Hard
精力,jīng lì,energy,...,Hard
精神,jīng shén,spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:个,...,Hard
经典,jīng diǎn,the classics; scriptures; classical,...,Hard
经商,jīng shāng,to trade; to carry out commercial activities; in business,...,Hard
经营,jīng yíng,to engage in (business etc); to run; to operate,...,Hard
酒吧,jiǔ bā,bar; pub; saloon; CL:家[jia1],...,Hard
救,jiù,to rescue; to save; to assist,...,Hard
救护车,jiù hù chē,ambulance; CL:辆[liang4],...,Hard
舅舅,jiù jiu,mother's brother; maternal uncle (informal); CL:个,...,Hard
居然,jū rán,unexpectedly; to one's surprise; go so far as to,...,Hard
桔子,jú zi,"tangerine; CL:个,瓣[ban4]",...,Hard
俱乐部,jù lè bù,club (i.e. a group or organization); CL:个,...,Hard
具备,jù bèi,to possess; to have; equipped with; able to fulfill (conditions or requirements),...,Hard
具体,jù tǐ,concrete; definite; specific,...,Hard
巨大,jù dà,huge; immense; very large; tremendous; gigantic; enormous,...,Hard
据说,jù shuō,it is said that; reportedly,...,Hard
捐,juān,to contribute; to donate; contribution; tax; to abandon,...,Hard
决赛,jué sài,finals (of a competition),...,Hard
决心,jué xīn,determination; resolution; determined; firm and resolute; to make up one's mind; CL:个,...,Hard
绝对,jué duì,absolute; unconditional,...,Hard
角色,jué sè,persona; role; character in a novel,...,Hard
军事,jūn shì,military affairs; military matters; military,...,Hard
均匀,jūn yún,well-distributed; homogeneous; even,...,Hard
卡车,kǎ chē,truck; CL:辆[liang4],...,Hard
开发,kāi fā,exploit (a resource); open up (for development); to develop,...,Hard
开放,kāi fàng,to lift (a ban or restriction); to open to the outside world (politics); to open for public use; to come into bloom (of flowers),...,Hard
开幕式,kāi mù shì,opening ceremony,...,Hard
开水,kāi shuǐ,boiled water; boiling water,...,Hard
砍,kǎn,to chop; to cut down; to throw sth at sb,...,Hard
看不起,kàn bu qǐ,to look down upon; to despise,...,Hard
看望,kàn wàng,to visit; to pay a call to,...,Hard
靠,kào ,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old); ,...,Hard
颗,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",这颗树比房子低。,Hard
可见,kě jiàn,it can clearly be seen (that this is the case); it is (thus) clear; clear; visible,...,Hard
可靠,kě kào,reliable,...,Hard
可怕,kě pà,awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly,...,Hard
克,kè,to be able to; to subdue; to restrain; to overcome; gram,...,Hard
克服,kè fú,(try to) overcome (hardships etc); to conquer; to put up with; to endure,...,Hard
刻苦,kè kǔ,hardworking; assiduous,...,Hard
客观,kè guān,objective; impartial,...,Hard
课程,kè chéng,"course; class; CL:堂[tang2] ,節[jie2] ,门[men2]",...,Hard
空间,kōng jiān,space (astronomy); CL:个,...,Hard
控制,kòng zhì,control; to exercise control over; to contain,...,Hard
空闲,kòng xián,idle; free time; leisure,...,Hard
口味,kǒu wèi,a person's preferences; tastes (in food); flavor,...,Hard
夸,kuā,to boast; to exaggerate; to praise,...,Hard
夸张,kuā zhāng ,to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; extreme; ridiculous; ,...,Hard
会计,kuài jì,accountant; accountancy; accounting,...,Hard
宽,kuān,wide; broad; lenient,...,Hard
昆虫,kūn chóng,"insect; CL:只[zhi1] ,群[qun2] ,堆[dui1]",...,Hard
扩大,kuò dà,to expand; to enlarge; to broaden one's scope,...,Hard
辣椒,là jiāo,hot pepper; chili,...,Hard
拦,lán,to cut off; to hinder,...,Hard
烂,làn,well-cooked and soft; mushy; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly,...,Hard
朗读,lǎng dú,read aloud; read loudly and clearly,...,Hard
劳动,láo dòng,physical labor; work; toil; CL:次[ci4],...,Hard
劳驾,láo jià,excuse me,...,Hard
姥姥,lǎo lao,(informal) mother's mother; maternal grandmother,...,Hard
老百姓,lǎo bǎi xìng,ordinary people; the 'person in the street'; CL:个,...,Hard
老板,lǎo bǎn,boss; keeper,...,Hard
老婆,lǎo pó ,(coll.) wife; ,...,Hard
老实,lǎo shi,honest; sincere; open and guileless; naive,...,Hard
老鼠,lǎo shǔ,rat; mouse; CL:只[zhi1],...,Hard
乐观,lè guān,optimistic; hopeful,...,Hard
雷,léi,thunder; (internet slang) terrifying; terrific,...,Hard
类型,lèi xíng ,type; category; genre; form; style; ,...,Hard
冷淡,lěng dàn,cold; indifferent,...,Hard
厘米,lí mǐ,centimeter,...,Hard
梨,lí,pear; CL:个,...,Hard
离婚,lí hūn,to divorce; divorced from (one's spouse),我最近才知道他们离婚了。,Hard
理论,lǐ lùn,theory; CL:个,...,Hard
理由,lǐ yóu,reason; grounds; justification; CL:个,...,Hard
利润,lì rùn,profits,...,Hard
利息,lì xī,interest (on a loan); CL:笔[bi3],...,Hard
利益,lì yì,benefit; (in sb's) interest; CL:个,...,Hard
利用,lì yòng,exploit; make use of; to use; to take advantage of; to utilize,...,Hard
力量,lì liang,power; force; strength,...,Hard
立即,lì jí,immediately,...,Hard
立刻,lì kè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,...,Hard
联合,lián hé,to combine; to join; unite; alliance,...,Hard
连忙,lián máng,promptly; at once,...,Hard
连续,lián xù ,continuous; in a row; serial; consecutive; ,...,Hard
恋爱,liàn ài,(romantic) love; in love; to have an affair; CL:个,...,Hard
粮食,liáng shi,foodstuff; cereals; CL:种[zhong3],...,Hard
良好,liáng hǎo,good; favorable; well; fine,...,Hard
亮,liàng,bright; clear; resonant; to shine; to show; to reveal,今晚的月亮真圆！,Hard
了不起,liǎo bu qǐ,amazing; terrific; extraordinary,...,Hard
列车,liè chē ,(railway) train; ,...,Hard
临时,lín shí,at the instant sth happens; temporary; interim; ad hoc,...,Hard
灵活,líng huó,flexible; nimble; agile,...,Hard
铃,líng,(small) bell; CL:只[zhi1],...,Hard
零件,líng jiàn,part; component,...,Hard
零食,líng shí,between-meal nibbles; snacks,...,Hard
领导,lǐng dǎo,"to lead; leading; leadership; leader; CL:位[wei4] ,个",...,Hard
领域,lǐng yù,domain; sphere; field; territory; area,...,Hard
流传,liú chuán,to spread; to circulate; to hand down,...,Hard
流泪,liú lèi,to shed tears,我感动得几乎要流泪了。,Hard
浏览,liú lǎn,to skim over; to browse,...,Hard
龙,lóng,dragon; CL:条[tiao2]; imperial,...,Hard
漏,lòu,to leak; to divulge; to leave out by mistake; waterclock or hourglass (old),...,Hard
录取,lù qǔ,to recruit; to enroll,...,Hard
录音,lù yīn,to record (sound); sound-recording; CL:个,...,Hard
陆地,lù dì,dry land (as opposed to the sea),...,Hard
陆续,lù xù,in turn; successively; one after the other; bit by bit,...,Hard
轮流,lún liú,to alternate; to take turns,...,Hard
论文,lùn wén,treatise; thesis; paper; CL:篇[pian1]; to discuss a paper or thesis (old),...,Hard
逻辑,luó ji,logic (loanword),...,Hard
落后,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress,...,Hard
骂,mà,"to scold; abuse; CL:通[tong4] ,顿[dun4]",...,Hard
麦克风,mài kè fēng,microphone (loanword),...,Hard
馒头,mán tou,steamed roll; steamed bun; steamed bread; CL:个,...,Hard
满足,mǎn zú,to satisfy; to meet (the needs of),...,Hard
毛病,máo bìng,fault; problem; defect; shortcomings; CL:个,...,Hard
矛盾,máo dùn,contradictory; contradiction; CL:个,...,Hard
冒险,mào xiǎn,to take risks; to take chances; foray; adventure,...,Hard
贸易,mào yì,(commercial) trade; CL:个,...,Hard
媒体,méi tǐ,"media, esp. news media",...,Hard
煤炭,méi tàn,coal,...,Hard
眉毛,méi mao,eyebrow; CL:根[gen1],...,Hard
美术,měi shù,art; fine arts; painting; CL:种[zhong3],...,Hard
魅力,mèi lì,charm; fascination; glamor; charisma,...,Hard
梦想,mèng xiǎng,to dream of; to hope in vain,...,Hard
密切,mì qiè,close; familiar; intimate; closely (related); to foster close ties; to pay close attention,...,Hard
秘密,mì mì,secret; CL:个,...,Hard
秘书,mì shū,secretary,...,Hard
蜜蜂,mì fēng,"bee; honeybee; CL:只[zhi1] ,群[qun2]",...,Hard
面对,miàn duì,to confront; to face,我们要用积极的态度面对生活。,Hard
面积,miàn jī,surface area,...,Hard
面临,miàn lín,to face sth; to be confronted with,...,Hard
描写,miáo xiě,to describe; to depict; to portray; description,...,Hard
苗条,miáo tiáo,slim; slender; graceful,...,Hard
敏感,mǐn gǎn,sensitive; susceptible; politically sensitive (pretext for censorship),...,Hard
名牌,míng pái,famous brand,...,Hard
名片,míng piàn,(business) card,...,Hard
名胜古迹,míng shèng gǔ jì,historical sites and scenic spots,...,Hard
明确,míng què,to clarify; explicit; clear-cut; definite; to specify; to make definite,...,Hard
明显,míng xiǎn,obvious; distinct; clear,...,Hard
明星,míng xīng,star; celebrity,...,Hard
命令,mìng lìng,"order; command; CL:道[dao4] ,个",...,Hard
命运,mìng yùn,destiny; fate; CL:个,...,Hard
摸,mō,to feel with the hand; to touch; to stroke; to grope; to feel (one's pulse),...,Hard
摩托车,mó tuō chē,"motorbike; motorcycle; CL:辆[liang4] ,部[bu4]",...,Hard
模仿,mó fǎng,to imitate; to copy; to emulate; to mimic; model,...,Hard
模糊,mó hu,vague; indistinct; fuzzy,...,Hard
模特,mó tè ,(fashion) model (loanword); ,...,Hard
陌生,mò shēng,strange; unfamiliar,...,Hard
某,mǒu,a certain; sb or sth indefinite; some; such-and-such,...,Hard
木头,mù tou,"slow-witted; blockhead; log (of wood, timber etc); CL:块[kuai4] ,根[gen1]",...,Hard
目标,mù biāo,target; goal; objective; CL:个,我和我妻子有共同的理想和生活目标。,Hard
目录,mù lù,catalog; table of contents; directory (on computer hard drive); list; contents,...,Hard
目前,mù qián,at the present time; currently,...,Hard
哪怕,nǎ pà,no matter how; even; even if; even though,...,Hard
难怪,nán guài,(it's) no wonder (that...); (it's) not surprising (that),...,Hard
难免,nán miǎn,hard to avoid; difficult to escape from,...,Hard
脑袋,nǎo dài,"head; skull; brain; mental capability; CL:颗[ke1] ,个",...,Hard
内部,nèi bù ,"interior; inside (part, section); internal; ",...,Hard
内科,nèi kē,"medicine; 'internal' medicine, i.e. treatment by administering drugs, as opposed to surgical intervention; medical department",...,Hard
嫩,nèn,tender; soft; delicate; light (color); inexperienced; unskilled,...,Hard
能干,néng gàn,capable; competent,...,Hard
能源,néng yuán,energy; power source; CL:个,...,Hard
嗯,ńg,m-hm (sound used to express agreement or assent),...,Hard
年代,nián dài,a decade of a century (e.g. the Sixties); age; era; period; CL:个,...,Hard
年纪,nián jì,"year (in school, college etc); grade CL:把[ba3] ,个",...,Hard
念,niàn,"to miss (someone); to read (aloud); to study (a degree course); to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20)",...,Hard
宁可,nìng kě,preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils,...,Hard
牛仔裤,niú zǎi kù,jeans; CL:条[tiao2],...,Hard
农村,nóng cūn,rural area; village; CL:个,...,Hard
农民,nóng mín,peasant; CL:个,...,Hard
农业,nóng yè,agriculture; farming,...,Hard
浓,nóng,concentrated; dense,...,Hard
女士,nv3 shì,"lady; madam; CL:个,位[wei4]",...,Hard
欧洲,ōu zhōu,Europe; European,...,Hard
偶然,ǒu rán,incidentally; occasional; occasionally; by chance; randomly,...,Hard
拍,pāi,to take (a photograph);to clap; to pat; to slap; fly-swatter; racket,...,Hard
派,pài,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926,...,Hard
盼望,pàn wàng,to hope for; look forward to,...,Hard
培训,péi xùn,to cultivate; to train; to groom; training,...,Hard
培养,péi yǎng,to educate; to nurture; to breed; to groom (for a position),...,Hard
赔偿,péi cháng,to compensate,...,Hard
佩服,pèi fú,admire,...,Hard
配合,pèi hé,matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine,...,Hard
盆,pén,"basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:个",...,Hard
碰,pèng ,to touch; to meet with; to bump; ,...,Hard
批,pī,"to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)",...,Hard
批准,pī zhǔn,to approve; to ratify,...,Hard
披,pī,to drape over one's shoulders; to unroll; to split open; to spread out,...,Hard
疲劳,pí láo,fatigue; wearily; weariness; weary,...,Hard
匹,pǐ,"classifier for horses, mules and tissue; ordinary person",...,Hard
片,piàn,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc",山上有一大片森林。,Hard
片面,piàn miàn,unilateral; one-sided,...,Hard
飘,piāo,to float,...,Hard
拼音,pīn yīn ,pinyin (Chinese romanization); phonetic writing,...,Hard
频道,pín dào,frequency; (television) channel,...,Hard
凭,píng,"to lean against; to rely on; on the basis of; no matter (how, what etc); proof",...,Hard
平均,píng jūn,average; on average; evenly; in equal proportions,...,Hard
平,píng,flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful,...,Hard
平安,píng 'ān ,safe and sound; well; without mishap; quiet and safe; at peace; ,...,Hard
平常,píng cháng,ordinary; common; usually; ordinarily,...,Hard
平等,píng děng,equality; equal,...,Hard
平方,píng fāng,"square (as in square foot, square mile, square root)",...,Hard
平衡,píng héng,balance; equilibrium,...,Hard
平静,píng jìng,tranquil; undisturbed; serene,...,Hard
评价,píng jià,to evaluate; to assess,...,Hard
破产,pò chǎn,to go bankrupt; to become impoverished; bankruptcy,...,Hard
破坏,pò huài,destruction; damage; to wreck; to break; to destroy,...,Hard
迫切,pò qiè,urgent; pressing,...,Hard
期待,qī dài,to look forward to; to await; expectation,...,Hard
期间,qī jiān,period of time; time; time period; period; CL:个,...,Hard
其余,qí yú,the rest; the others; remaining; remainder; apart from them,...,Hard
奇迹,qí jì,miracle; miraculous; wonder; marvel,...,Hard
企业,qǐ yè,company; firm; enterprise; corporation; CL:家[jia1],...,Hard
启发,qǐ fā,to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:个,...,Hard
气氛,qì fēn,atmosphere; mood,...,Hard
汽油,qì yóu,gas; gasoline; CL:升[sheng1],...,Hard
签,qiān ,to sign one's name; to make brief comments on a document; autograph; visa,...,Hard
谦虚,qiān xū,modest; self-effacing; to make modest remarks,...,Hard
前途,qián tú,future outlook; prospects; journey,...,Hard
浅,qiǎn,"shallow, not deep; superficial",...,Hard
欠,qiàn,deficient; owe; to lack; yawn,...,Hard
枪,qiāng,"gun; firearm; rifle; spear; CL:支[zhi1] ,把[ba3]",...,Hard
墙,qiáng,"wall; CL:面[mian4] ,堵[du3]",客厅正面的墙上，正中挂着父的画像。,Hard
强调,qiáng diào,to emphasize (a statement); to stress,...,Hard
强烈,qiáng liè,intense; (violently) strong,...,Hard
抢,qiǎng,to fight over; to rush; to scramble; to grab; to rob; to snatch,...,Hard
悄悄,qiāo qiāo,stealthily; quietly; secretly; ,...,Hard
瞧,qiáo,to look at; to see,...,Hard
巧妙,qiǎo miào,ingenious; clever,...,Hard
切,qiē,to cut; to slice; tangent (math),...,Hard
亲爱,qīn ài,Dear or beloved (way of starting a letter),...,Hard
亲切,qīn qiè,amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar,...,Hard
亲自,qīn zì,personally,...,Hard
勤奋,qín fèn,hardworking; diligent,...,Hard
清淡,qīng dàn,"light (of food, not greasy or strongly flavored); insipid; slack (sales)",...,Hard
轻视,qīng shì,contempt; contemptuous; to despise; to scorn; scornful,...,Hard
轻易,qīng yì ,easily; lightly; rashly; ,...,Hard
青,qīng,green or blue; nature's color; greenish black; abbr. for Qinghai province 青海,...,Hard
青春,qīng chūn,youth; youthfulness,...,Hard
青少年,qīng shào nián,teenager; teenage; an adolescent; a youth; young person,...,Hard
情景,qíng jǐng,scene; sight; circumstances; CL:个,...,Hard
情绪,qíng xù,feeling; sentiment; CL:种[zhong3],...,Hard
请求,qǐng qiú,to request; request; to ask; CL:个,...,Hard
庆祝,qìng zhù,to celebrate,...,Hard
球迷,qiú mí,soccer fan; crazy about ball sports; CL:个,...,Hard
趋势,qū shì,trend; tendency,...,Hard
取消,qǔ xiāo,to cancel; cancellation,...,Hard
娶,qǔ,to take a wife; to marry (a woman),...,Hard
去世,qù shì,to pass away; to die,...,Hard
圈,quān,"circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:个",...,Hard
全面,quán miàn,all-around; comprehensive; total; overall,...,Hard
权利,quán lì,privilege; right; power,...,Hard
权力,quán lì,authority; power,...,Hard
劝,quàn,to advise; to urge; to try to persuade; to exhort,...,Hard
缺乏,quē fá,shortage; be lacking; to be short of; to lack; scarcity,...,Hard
确定,què dìng,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box),这只是我的估计，并不确定。,Hard
确认,què rèn,to confirm; to verify; confirmation,...,Hard
群,qún,group; crowd; flock; herd; pack,...,Hard
燃烧,rán shāo,to ignite; combustion; flaming; kindle,...,Hard
绕,rào,to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex,...,Hard
热爱,rè ài,to love ardently; to adore,他是一个热爱生活的人。,Hard
热烈,rè liè,warm (welcome etc),...,Hard
热心,rè xīn,enthusiasm; zeal; zealous; zest; enthusiastic; ardent; warmhearted,...,Hard
人才,rén cái,a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:个,...,Hard
人口,rén kǒu,population,...,Hard
人类,rén lèi,humanity; human race; mankind,...,Hard
人民币,rén mín bì,Renminbi (RMB); Chinese Yuan (CNY),...,Hard
人生,rén shēng,human life,他已经习惯了一个人生活。,Hard
人事,rén shì,human resources; personnel; human affairs; ways of the world; consciousness of the world; what is humanly possible; personnel matters; sexual awareness; sexual passion; facts of life,...,Hard
人物,rén wù,"a person; a character (in a play, novel etc); a protagonist; CL:个",...,Hard
人员,rén yuán,staff; crew; personnel; CL:个,...,Hard
忍不住,rěn bu zhù,cannot help; unable to bear,...,Hard
日常,rì cháng,daily; everyday,...,Hard
日程,rì chéng,schedule; itinerary; CL:个,...,Hard
日历,rì lì,"calendar; CL:张[zhang1] ,本[ben3]",...,Hard
日期,rì qī,date (calendar); CL:个,...,Hard
日用品,rì yòng pǐn,"articles for daily use; CL:件[jian4] ,个",...,Hard
日子,rì zi,a given day (calendar); days of one's life; time,...,Hard
如何,rú hé,what way; how; what,...,Hard
如今,rú jīn,nowadays; now,...,Hard
软,ruǎn,soft; flexible,...,Hard
软件,ruǎn jiàn,(computer) software,...,Hard
弱,ruò,weak; feeble; young; inferior; (following a decimal or fraction) slightly less than,...,Hard
洒,sǎ,to sprinkle; to spray; to spill; to shed,...,Hard
嗓子,sǎng zi,throat; voice; CL:把[ba3],...,Hard
色彩,sè cǎi,tint; coloring; coloration; character,...,Hard
杀,shā,to kill; to murder; to fight; to weaken or reduce; to smart (topolect); to counteract; (used after a verb) extremely,...,Hard
沙漠,shā mò,desert; CL:个,...,Hard
沙滩,shā tān,beach; sand bar; CL:片[pian4],...,Hard
傻,shǎ,foolish; silly,...,Hard
晒,shài,to dry in the sun; to sunbathe; to share files (loan from 'share'),...,Hard
删除,shān chú,to delete; to cancel,...,Hard
闪电,shǎn diàn,lightning; CL:道[dao4],...,Hard
善良,shàn liáng,good and honest; kind-hearted,...,Hard
善于,shàn yú,be good at; be adept in,...,Hard
扇子,shàn zi,fan; CL:把[ba3],...,Hard
伤害,shāng hài ,to injure; to harm; ,...,Hard
商品,shāng pǐn,good; commodity; merchandise; CL:个,...,Hard
商务,shāng wù ,commercial affairs; commercial; commerce; business; ,...,Hard
